Row Labels,Count of Location
Accounting,238
Accounting & IS,149
Agricultural Science,52
Anthropology,68
Art,52
Art History,22
Atmospheric Science,121
Biochemistry and Molecular Biology,70
Biomedical Engineering,119
Biotechnology,152
Business,72
Chemical Engineering,97
Chemistry,137
Civil and Environmental Engineering,161
Computer Sci and Engr BSCSE,99
Criminal Justice,46
Economics,98
Electrical Engineering,168
Elementary Education,89
Geography,118
Marketing,144
Mechanical Engineering,89
Music,50
Nursing,41
Nutrition,123
Physics,114
Social Work,93
Spanish,26
Theatre,50
Grand Total,2858
